CEP; Logradouro; Complemento; Bairro; Localidade; UF; Unidade; IBGE; GIA
22630-100; Rua Ulisses Alcântara; ; Barra da Tijuca; Rio de Janeiro; RJ; ; 3304557; ; 
22776-000; Avenida das Acácias da Península; ; Barra da Tijuca; Rio de Janeiro; RJ; ; 3304557; ; 
22290-240; Avenida Pasteur; até 213/214; Botafogo; Rio de Janeiro; RJ; ; 3304557; ; 
04007-900; Rua Tutóia 1157; ; Vila Mariana; São Paulo; SP; ; 3550308; 1004; 
4711130; ; ; ; ; ; ; 
04538 133; ; ; ; ; ; ; 
